wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/altocedro-gran-reserve-malbec/w/1238478?year=2019&price_id=33984132,Gran Reserve Malbec,2019,Altocedro,4.4,71,,67.61398750000001%,33.64601%,24.621337500000003%,35.977129999999995%,"{'oaky': 73, 'black fruit': 44, 'red fruit': 27, 'spices': 24, 'earthy': 17, 'yeasty': 7, 'dried fruit': 5, 'floral': 3, 'ageing': 2, 'tree fruit': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'La Consulta']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/pMcBMNy-RK-gjvlb3ynOWg_pb_x600.png
https://www.vivino.com/algodon-pima/w/1868387?year=2014&price_id=37200924,Pima,2014,Algodon,4.4,49,,64.8310175%,39.8841675%,33.2012475%,52.29582%,"{'oaky': 22, 'black fruit': 14, 'spices': 7, 'red fruit': 7, 'earthy': 5, 'vegetal': 1, 'yeasty': 1, 'dried fruit': 1}","['beef', 'lamb', 'pork', 'poultry', 'mushrooms', 'blue cheese']","['Merlot', 'Bonarda', 'Shiraz/Syrah', 'Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza', 'San Rafael']",Argentinian Malbec Red Blend,https://images.vivino.com/thumbs/J8aQmjViT2ipOesKRR3q4Q_pb_x600.png
https://www.vivino.com/ar-bodega-noemia-malbec/w/2017619?year=2020&price_id=38259208,Malbec,2020,Bodega Noemìa,4.4,46,,62.49753%,29.2550375%,20.424119999999995%,37.04280000000001%,"{'oaky': 256, 'black fruit': 179, 'earthy': 131, 'red fruit': 69, 'spices': 64, 'yeasty': 13, 'floral': 12, 'citrus': 7, 'ageing': 4, 'tree fruit': 4, 'dried fruit': 3, 'vegetal': 3, 'tropical': 2}","['beef', 'lamb', 'poultry']",['100%Malbec'],"['Argentina', 'Patagonia']",Argentinian Malbec,https://images.vivino.com/thumbs/-ScupUroRaC2MxF6SYeCbw_pb_x600.png
https://www.vivino.com/felipe-staiti-honor-blend/w/7582472?year=2017&price_id=24916068,Honor Blend,2017,Felipe Staiti,4.4,37,,,,,,"{'oaky': 29, 'black fruit': 22, 'earthy': 15, 'spices': 6, 'red fruit': 4, 'floral': 2}","['beef', 'lamb', 'poultry']",['Argentina/Mendoza/Uco Valley'],['15%'],Contains sulfites,https://images.vivino.com/thumbs/dkLixhc6SaCtDXqwyjAe0g_pb_x600.png
https://www.vivino.com/achaval-ferrer-finca-altamira-malbec/w/1176258?year=2017&price_id=35777822,Finca Altamira Malbec,2017,Achaval-Ferrer,4.4,36,123.95,66.4672425%,33.839217500000004%,19.528825%,39.221325%,"{'black fruit': 401, 'oaky': 386, 'earthy': 230, 'red fruit': 101, 'spices': 96, 'floral': 32, 'yeasty': 19, 'dried fruit': 18, 'ageing': 13, 'citrus': 12, 'vegetal': 8, 'tree fruit': 2, 'tropical': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Paraje Altamira']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/oHO7g_nFT2iceF1YABiQdA_pb_x600.png
https://www.vivino.com/perse-ar-volare-del-camino-gualtallary/w/4657145?year=2021&price_id=37473956,Volare del Camino Gualtallary,2021,PerSe,4.4,25,,62.59986000000001%,36.9990925%,17.507550000000002%,44.756769999999996%,"{'black fruit': 23, 'oaky': 17, 'earthy': 9, 'spices': 8, 'red fruit': 2, 'floral': 2, 'dried fruit': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato', 'Gualtallary']",Argentinian Tupungato Malbec Red,https://images.vivino.com/thumbs/oI_ZWvnyTO-ImInILSr3cg_pb_x600.png
https://www.vivino.com/vina-cobos-bramare-cabernet-sauvignon/w/43984?year=2021&price_id=37401233,Bramare Cabernet Sauvignon,2021,Viña Cobos,4.3,based,44.95,68.243475%,54.021237500000005%,15.621032499999998%,41.9973125%,"{'oaky': 411, 'black fruit': 347, 'earthy': 175, 'spices': 105, 'red fruit': 81, 'floral': 21, 'dried fruit': 18, 'vegetal': 17, 'yeasty': 16, 'ageing': 10, 'citrus': 4, 'tree fruit': 2, 'tropical': 2}","['beef', 'lamb', 'poultry']",['Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Cabernet Sauvignon,https://images.vivino.com/thumbs/leVKjhJSRjS58OylexFDHQ_pb_x600.png
https://www.vivino.com/ar-bodega-noemia-malbec/w/2017619?year=2021&price_id=36126726,Malbec,2021,Bodega Noemìa,4.3,based,,62.49753%,29.2550375%,20.424119999999995%,37.04280000000001%,"{'oaky': 256, 'black fruit': 179, 'earthy': 131, 'red fruit': 69, 'spices': 64, 'yeasty': 13, 'floral': 12, 'citrus': 7, 'ageing': 4, 'tree fruit': 4, 'dried fruit': 3, 'vegetal': 3, 'tropical': 2}","['beef', 'lamb', 'poultry']",['Malbec'],"['Argentina', 'Patagonia']",Argentinian Malbec,https://images.vivino.com/thumbs/-ScupUroRaC2MxF6SYeCbw_pb_x600.png
https://www.vivino.com/el-enemigo-malbec/w/1674523?year=2019&price_id=34625995,Malbec,2019,El Enemigo,4.3,6308,38.49,64.949695%,35.286500000000004%,20.768479999999997%,34.926807499999995%,"{'oaky': 2397, 'black fruit': 2205, 'earthy': 939, 'red fruit': 554, 'spices': 465, 'floral': 128, 'dried fruit': 83, 'yeasty': 78, 'ageing': 56, 'citrus': 35, 'tree fruit': 34, 'vegetal': 28, 'tropical': 3}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/S0m-9WKZRfKqjuvZbpy8Vg_pb_x600.png
https://www.vivino.com/vina-cobos-cocodrilo-red-blend-mendoza/w/2178564?year=2017&price_id=21247474,Cocodrilo Red Blend,2017,Viña Cobos,4.3,5879,29.95,71.95083500000001%,46.37825000000001%,16.763135000000002%,41.57462%,"{'oaky': 607, 'black fruit': 397, 'earthy': 199, 'red fruit': 113, 'spices': 108, 'floral': 21, 'yeasty': 13, 'ageing': 10, 'dried fruit': 10, 'vegetal': 8, 'citrus': 5, 'tropical': 2, 'tree fruit': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Merlot', 'Cabernet Sauvignon', 'Petit Verdot', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/MisVOMgOTMi3KfhYSZTwyQ_pb_x600.png
https://www.vivino.com/el-enemigo-cabernet-franc/w/2342297?year=2019&price_id=37892662,Cabernet Franc,2019,El Enemigo,4.3,5536,26.99,53.05733%,47.741925%,18.252382500000003%,72.32976500000001%,"{'oaky': 1952, 'black fruit': 1518, 'earthy': 854, 'red fruit': 656, 'spices': 625, 'floral': 105, 'vegetal': 97, 'yeasty': 70, 'dried fruit': 54, 'ageing': 44, 'citrus': 26, 'tree fruit': 19, 'tropical': 1}","['beef', 'lamb', 'pork', 'vegetarian', 'poultry', ""goat's milk cheese""]",['100%Cabernet Franc'],"['Argentina', 'Mendoza']",Argentinian Mendoza Cabernet Franc Red,https://images.vivino.com/thumbs/r87yUi-gTdeE0oy5uJYZiQ_pb_x600.png
https://www.vivino.com/el-enemigo-cabernet-franc/w/2342297?year=2015&price_id=21241136,Cabernet Franc,2015,El Enemigo,4.3,4308,26.99,53.05733%,47.741925%,18.252382500000003%,72.32976500000001%,"{'oaky': 1952, 'black fruit': 1518, 'earthy': 854, 'red fruit': 656, 'spices': 625, 'floral': 105, 'vegetal': 97, 'yeasty': 70, 'dried fruit': 54, 'ageing': 44, 'citrus': 26, 'tree fruit': 19, 'tropical': 1}","['beef', 'lamb', 'pork', 'vegetarian', 'poultry', ""goat's milk cheese""]",['100%Cabernet Franc'],"['Argentina', 'Mendoza']",Argentinian Mendoza Cabernet Franc Red,https://images.vivino.com/thumbs/r87yUi-gTdeE0oy5uJYZiQ_pb_x600.png
https://www.vivino.com/catena-alta-malbec/w/1870?year=2016&price_id=23576831,Malbec,2016,Catena Alta,4.3,3603,99.99,65.740895%,27.722810000000003%,18.271242500000003%,34.843092500000004%,"{'oaky': 2148, 'black fruit': 1878, 'earthy': 888, 'spices': 482, 'red fruit': 401, 'floral': 155, 'yeasty': 76, 'ageing': 44, 'dried fruit': 39, 'vegetal': 26, 'citrus': 15, 'tree fruit': 7, 'tropical': 5}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/sEcsaCEwQB6snXQXT42C8g_pb_x600.png
